UniqueID,StreamSide,StreamDistance,DownStream,SubDownStream,Elevation,DepthBin,Mortality,Sizemm,Sediment4000,Sediment2000,Sediment500,Sediment250,Sediment125,Sediment63,Sediment0,
S2 120-4,S,2,120,4,1.57,10,D,,,,,,,,,
S2 120-4,S,2,120,4,1.57,10,D,,,,,,,,,
S2 120-4,S,2,120,4,1.57,10,D,,,,,,,,,
S2 120-4,S,2,120,4,1.57,15,A,53.33,,,,,,,,
S2 130-9,S,2,130,9,1.5,0,A,29.76,0.5225,0.2315,0.1932,0.0331,0.017,0.0021,0.0006,
S2 130-9,S,2,130,9,1.5,0,D,,0.5225,0.2315,0.1932,0.0331,0.017,0.0021,0.0006,
S2 130-9,S,2,130,9,1.5,0,D,,0.5225,0.2315,0.1932,0.0331,0.017,0.0021,0.0006,
S2 130-9,S,2,130,9,1.5,0,D,,0.5225,0.2315,0.1932,0.0331,0.017,0.0021,0.0006,
S2 130-9,S,2,130,9,1.5,0,D,,0.5225,0.2315,0.1932,0.0331,0.017,0.0021,0.0006,
S2 130-9,S,2,130,9,1.5,5,D,,0.5225,0.2315,0.1932,0.0331,0.017,0.0021,0.0006,
S2 130-9,S,2,130,9,1.5,5,D,,0.5225,0.2315,0.1932,0.0331,0.017,0.0021,0.0006,
S2 130-9,S,2,130,9,1.5,5,A,59.14,0.5225,0.2315,0.1932,0.0331,0.017,0.0021,0.0006,
S2 130-9,S,2,130,9,1.5,5,A,47.75,0.5225,0.2315,0.1932,0.0331,0.017,0.0021,0.0006,
S2 130-9,S,2,130,9,1.5,10,Z,,0.5225,0.2315,0.1932,0.0331,0.017,0.0021,0.0006,
S2 130-9,S,2,130,9,1.5,15,Z,,0.5225,0.2315,0.1932,0.0331,0.017,0.0021,0.0006,
S 2 140-2,S ,2,140,2,1.42,0,Z,,,,,,,,,
S 2 140-2,S ,2,140,2,1.42,5,A,47.14,,,,,,,,
S 2 140-2,S ,2,140,2,1.42,10,Z,,,,,,,,,
S 2 140-2,S ,2,140,2,1.42,15,Z,,,,,,,,,
S5 20-5,S,5,20,5,3.74,0,Z,,0.6076,0.1081,0.2004,0.0768,0.0045,0.0014,0.0012,
S5 20-5,S,5,20,5,3.74,5,Z,,0.6076,0.1081,0.2004,0.0768,0.0045,0.0014,0.0012,
S5 20-5,S,5,20,5,3.74,10,Z,,0.6076,0.1081,0.2004,0.0768,0.0045,0.0014,0.0012,
S5 20-5,S,5,20,5,3.74,15,D,,0.6076,0.1081,0.2004,0.0768,0.0045,0.0014,0.0012,
S5 30-5,S,5,30,5,3.37,0,Z,,0.589,0.1715,0.1855,0.0467,0.0058,0.001,0.0005,
S5 30-5,S,5,30,5,3.37,5,Z,,0.589,0.1715,0.1855,0.0467,0.0058,0.001,0.0005,
S5 30-5,S,5,30,5,3.37,10,D,,0.589,0.1715,0.1855,0.0467,0.0058,0.001,0.0005,
S5 30-5,S,5,30,5,3.37,15,Z,,0.589,0.1715,0.1855,0.0467,0.0058,0.001,0.0005,
S5 40-6,S,5,40,6,3.08,5,Z,,0.5288,0.2143,0.2123,0.037,0.0057,0.0013,0.0006,
S5 40-6,S,5,40,6,3.08,15,Z,,0.5288,0.2143,0.2123,0.037,0.0057,0.0013,0.0006,
S5 40-6,S,5,40,6,3.08,10,A,29.55,0.5288,0.2143,0.2123,0.037,0.0057,0.0013,0.0006,
S5 40-6,S,5,40,6,3.08,0,D,,0.5288,0.2143,0.2123,0.037,0.0057,0.0013,0.0006,
S5 40-6,S,5,40,6,3.08,10,A,24.65,0.5288,0.2143,0.2123,0.037,0.0057,0.0013,0.0006,
S5 50-4,S,5,50,4,2.95,0,Z,,,,,,,,,
S5 50-4,S,5,50,4,2.95,5,Z,,,,,,,,,
S5 50-4,S,5,50,4,2.95,10,Z,,,,,,,,,
S5 50-4,S,5,50,4,2.95,15,Z,,,,,,,,,
S5 60-0,S,5,60,0,2.8,0,D,,0.5863,0.1727,0.1863,0.0454,0.0078,0.0009,0.0007,
S5 60-0,S,5,60,0,2.8,0,Z,,0.5863,0.1727,0.1863,0.0454,0.0078,0.0009,0.0007,
S5 60-0,S,5,60,0,2.8,5,Z,,0.5863,0.1727,0.1863,0.0454,0.0078,0.0009,0.0007,
S5 60-0,S,5,60,0,2.8,10,D,,0.5863,0.1727,0.1863,0.0454,0.0078,0.0009,0.0007,
S5 60-0,S,5,60,0,2.8,10,D,,0.5863,0.1727,0.1863,0.0454,0.0078,0.0009,0.0007,
S5 60-0,S,5,60,0,2.8,15,Z,,0.5863,0.1727,0.1863,0.0454,0.0078,0.0009,0.0007,
S5 70-0,S,5,70,0,2.64,0,Z,,0.6508,0.1702,0.1525,0.023,0.0032,0.0001,0.0003,
S5 70-0,S,5,70,0,2.64,15,Z,,0.6508,0.1702,0.1525,0.023,0.0032,0.0001,0.0003,
S5 70-0,S,5,70,0,2.64,10,A,27.5,0.6508,0.1702,0.1525,0.023,0.0032,0.0001,0.0003,
S5 70-0,S,5,70,0,2.64,0,Z,,0.6508,0.1702,0.1525,0.023,0.0032,0.0001,0.0003,
S5 70-0,S,5,70,0,2.64,5,D,,0.6508,0.1702,0.1525,0.023,0.0032,0.0001,0.0003,
S5 70-0,S,5,70,0,2.64,10,D,,0.6508,0.1702,0.1525,0.023,0.0032,0.0001,0.0003,
S5 70-0,S,5,70,0,2.64,10,D,,0.6508,0.1702,0.1525,0.023,0.0032,0.0001,0.0003,
S5 70-0,S,5,70,0,2.64,10,D,,0.6508,0.1702,0.1525,0.023,0.0032,0.0001,0.0003,
S5 70-0,S,5,70,0,2.64,10,D,,0.6508,0.1702,0.1525,0.023,0.0032,0.0001,0.0003,
S5 70-0,S,5,70,0,2.64,15,Z,,0.6508,0.1702,0.1525,0.023,0.0032,0.0001,0.0003,
S5 80-0,S,5,80,0,2.41,0,A,32.67,0.5476,0.2092,0.1996,0.0355,0.0074,0.0004,0.0002,
S5 80-0,S,5,80,0,2.41,0,D,,0.5476,0.2092,0.1996,0.0355,0.0074,0.0004,0.0002,
S5 80-0,S,5,80,0,2.41,0,D,,0.5476,0.2092,0.1996,0.0355,0.0074,0.0004,0.0002,
S5 80-0,S,5,80,0,2.41,15,D,,0.5476,0.2092,0.1996,0.0355,0.0074,0.0004,0.0002,
S5 80-0,S,5,80,0,2.41,15,D,,0.5476,0.2092,0.1996,0.0355,0.0074,0.0004,0.0002,
S5 80-0,S,5,80,0,2.41,0,A,30.42,0.5476,0.2092,0.1996,0.0355,0.0074,0.0004,0.0002,
S5 80-0,S,5,80,0,2.41,0,A,23.18,0.5476,0.2092,0.1996,0.0355,0.0074,0.0004,0.0002,
S5 80-0,S,5,80,0,2.41,0,A,50.73,0.5476,0.2092,0.1996,0.0355,0.0074,0.0004,0.0002,
S5 80-0,S,5,80,0,2.41,5,A,34.34,0.5476,0.2092,0.1996,0.0355,0.0074,0.0004,0.0002,
S5 80-0,S,5,80,0,2.41,5,A,34.59,0.5476,0.2092,0.1996,0.0355,0.0074,0.0004,0.0002,
S5 80-0,S,5,80,0,2.41,10,A,37.06,0.5476,0.2092,0.1996,0.0355,0.0074,0.0004,0.0002,
S5 80-0,S,5,80,0,2.41,10,A,30.65,0.5476,0.2092,0.1996,0.0355,0.0074,0.0004,0.0002,
S5 80-0,S,5,80,0,2.41,15,A,50.83,0.5476,0.2092,0.1996,0.0355,0.0074,0.0004,0.0002,
