uniqueid,streamside,streamdist,depth,mortality,sizemm,pc1,pc1new,gravel
S5 80-0,S,5,0,A,50.73,-0.705075298,2.224401342,0.7568
S5 80-0,S,5,15,A,44.71,-0.705075298,2.224401342,0.7568
S5 80-0,S,5,10,A,37.06,-0.705075298,2.224401342,0.7568
S5 80-0,S,5,5,A,34.59,-0.705075298,2.224401342,0.7568
S5 80-0,S,5,5,A,34.34,-0.705075298,2.224401342,0.7568
S5 80-0,S,5,0,A,32.67,-0.705075298,2.224401342,0.7568
S5 80-0,S,5,10,A,30.65,-0.705075298,2.224401342,0.7568
S5 80-0,S,5,0,A,30.42,-0.705075298,2.224401342,0.7568
S5 80-0,S,5,0,A,23.18,-0.705075298,2.224401342,0.7568
S5 90-0,S,5,5,A,49.57,-1.13801628,1.79146036,0.7574
S5 90-0,S,5,5,A,45.11,-1.13801628,1.79146036,0.7574
S5 90-0,S,5,15,A,44.49,-1.13801628,1.79146036,0.7574
S5 90-0,S,5,15,A,44.24,-1.13801628,1.79146036,0.7574
S5 90-0,S,5,15,A,41.63,-1.13801628,1.79146036,0.7574
S5 90-0,S,5,0,A,40.76,-1.13801628,1.79146036,0.7574
S5 90-0,S,5,15,A,25.57,-1.13801628,1.79146036,0.7574
