"Sediment4000","Sediment2000","Sediment500","Sediment250","Sediment125","Sediment63","Sediment0","observations","normSediment4000","normSediment2000","normSediment500","normSediment250","normSediment125","normSediment63","normSediment0","PC1"
0.5092,0.2482,0.2093,0.0288,0.0039,5e-04,1e-04,54,-0.0425490813531624,0.318456247636648,0.0632635215741068,-0.180107141720284,-0.577907003224102,-0.809112447740097,-1.33368911336493,-1.13801628031234
0.3502,0.2156,0.3403,0.0831,0.0098,7e-04,2e-04,55,-0.416885528184662,0.177646213900983,0.549322473629013,0.879562172999219,0.343498829316824,-0.472640211118885,-0.640541932804983,1.58800306435711
0.5613,0.1929,0.19,0.0449,0.0052,0.0055,3e-04,56,0.0548655739117399,0.0663932947778245,-0.0334810357173612,0.263955265886025,-0.290224930772321,1.58878282505827,-0.235076824696819,0.438740823655617
0.5627,0.2145,0.1843,0.0328,0.0048,6e-04,2e-04,57,0.0573566784028193,0.172531113234213,-0.0639402432020697,-0.0500540134720858,-0.370267638445857,-0.626790890946143,-0.640541932804983,-0.93582700115789
0.5167,0.1327,0.3076,0.0365,0.0058,6e-04,1e-04,58,-0.0279275127432748,-0.307687683795697,0.448295129753641,0.0568297317262619,-0.181025638807329,-0.626790890946143,-1.33368911336493,-0.155573608081785
0.5627,0.2145,0.1843,0.0328,0.0048,6e-04,2e-04,59,0.0573566784028193,0.172531113234213,-0.0639402432020697,-0.0500540134720858,-0.370267638445857,-0.626790890946143,-0.640541932804983,-0.93582700115789
0.3502,0.2156,0.3403,0.0831,0.0098,7e-04,2e-04,60,-0.416885528184662,0.177646213900983,0.549322473629013,0.879562172999219,0.343498829316824,-0.472640211118885,-0.640541932804983,1.58800306435711
0.3799,0.1287,0.3131,0.1295,0.0444,0.0036,8e-04,61,-0.335481887842834,-0.338294510531778,0.466017520454513,1.32319835227741,1.85435591307848,1.16496857828191,0.745752428314907,3.65229579822368
0.3963,0.2085,0.2601,0.0819,0.0449,0.0062,0.0021,62,-0.293218447840025,0.144160416104997,0.280561064576758,0.86501646199684,1.86555423838851,1.70858402487089,1.71083332435849,3.57532407996306
0.4936,0.1606,0.2462,0.0819,0.0149,0.0019,8e-04,63,-0.0736644754452359,-0.116861823621197,0.225639105872506,0.86501646199684,0.762477656591711,0.525888618992243,0.745752428314907,1.76842964400047
0.3799,0.1287,0.3131,0.1295,0.0444,0.0036,8e-04,64,-0.335481887842834,-0.338294510531778,0.466017520454513,1.32319835227741,1.85435591307848,1.16496857828191,0.745752428314907,3.65229579822368
0.5907,0.2262,0.1534,0.0252,0.0036,7e-04,2e-04,65,0.105918326276776,0.225640938548161,-0.247456218944691,-0.313638534344806,-0.657949710897638,-0.472640211118885,-0.640541932804983,-1.47207115196788
0.4936,0.1606,0.2462,0.0819,0.0149,0.0019,8e-04,66,-0.0736644754452359,-0.116861823621197,0.225639105872506,0.86501646199684,0.762477656591711,0.525888618992243,0.745752428314907,1.76842964400047
0.463,0.2288,0.2578,0.0401,0.0078,0.002,5e-04,67,-0.13766289395018,0.237069634371784,0.27167898262724,0.150893805450339,0.115240177335844,0.577181913379793,0.275748799069172,1.00228662716535
0.5476,0.2092,0.1996,0.0355,0.0074,4e-04,2e-04,68,0.0301551453778799,0.147512107056909,0.0158102559995162,0.0290501676191861,0.0625964438504218,-1.03225599905431,-0.640541932804983,-0.705075298335113
0.3799,0.1287,0.3131,0.1295,0.0444,0.0036,8e-04,69,-0.335481887842834,-0.338294510531778,0.466017520454513,1.32319835227741,1.85435591307848,1.16496857828191,0.745752428314907,3.65229579822368
0.5627,0.2145,0.1843,0.0328,0.0048,6e-04,2e-04,70,0.0573566784028193,0.172531113234213,-0.0639402432020697,-0.0500540134720858,-0.370267638445857,-0.626790890946143,-0.640541932804983,-0.93582700115789
0.4936,0.1606,0.2462,0.0819,0.0149,0.0019,8e-04,72,-0.0736644754452359,-0.116861823621197,0.225639105872506,0.86501646199684,0.762477656591711,0.525888618992243,0.745752428314907,1.76842964400047
0.5907,0.2262,0.1534,0.0252,0.0036,7e-04,2e-04,73,0.105918326276776,0.225640938548161,-0.247456218944691,-0.313638534344806,-0.657949710897638,-0.472640211118885,-0.640541932804983,-1.47207115196788
0.5627,0.2145,0.1843,0.0328,0.0048,6e-04,2e-04,75,0.0573566784028193,0.172531113234213,-0.0639402432020697,-0.0500540134720858,-0.370267638445857,-0.626790890946143,-0.640541932804983,-0.93582700115789
0.5613,0.1929,0.19,0.0449,0.0052,0.0055,3e-04,76,0.0548655739117399,0.0663932947778245,-0.0334810357173612,0.263955265886025,-0.290224930772321,1.58878282505827,-0.235076824696819,0.438740823655617
0.3799,0.1287,0.3131,0.1295,0.0444,0.0036,8e-04,77,-0.335481887842834,-0.338294510531778,0.466017520454513,1.32319835227741,1.85435591307848,1.16496857828191,0.745752428314907,3.65229579822368
