"","UniqueID","StreamSide","StreamDistance","Elevation","DepthBin","Mortality","Sizemm","normGravel","normSand","normSilt","PC1","gravel","DownStreamTotal","APresence","DPresence"
"54","S5 90-0","S",5,2.26,0,"A",40.76,0.0458161520736022,-0.0165277302559692,-1.33368911336493,-1.13801628031234,0.7574,90,1,0
"55","S10 70-7","S",10,2.35,10,"A",40.66,-0.245834704526625,0.565284652170798,-0.640541932804983,1.58800306435711,0.5658,77,1,0
"56","S2 70-5","S",2,2.49,5,"A",40.18,0.0415822214301644,-0.00382524436051961,-0.235076824696819,0.438740823655617,0.7542,75,1,0
"57","S10 80-7","S",10,2.3,5,"A",40.04,0.0716223541091927,-0.102602339027212,-0.640541932804983,-0.93582700115789,0.7772,87,1,0
"58","N10 80-5","N",10,2.1,5,"A",39.99,-0.108026503725347,0.351831265841138,-1.33368911336493,-0.155573608081785,0.6494,85,1,0
"59","S10 80-7","S",10,2.3,5,"A",39.49,0.0716223541091927,-0.102602339027212,-0.640541932804983,-0.93582700115789,0.7772,87,1,0
"60","S10 70-7","S",10,2.35,10,"A",38.82,-0.245834704526625,0.565284652170798,-0.640541932804983,1.58800306435711,0.5658,77,1,0
"61","N10 50-3","N",10,2.65,5,"A",38.49,-0.352413510406073,0.688099691190882,0.745752428314907,3.65229579822368,0.5086,53,1,0
"62","S5 110-0","S",5,1.98,10,"A",38.38,-0.179177538528769,0.466534591794307,1.71083332435849,3.57532407996306,0.6048,110,1,0
"63","N5 50-4","N",5,2.77,5,"A",38.12,-0.100662248289809,0.335725079309288,0.745752428314907,1.76842964400047,0.6542,54,1,0
"64","N10 50-3","N",10,2.65,0,"A",37.8,-0.352413510406073,0.688099691190882,0.745752428314907,3.65229579822368,0.5086,53,1,0
"65","N10 40-6","N",10,2.94,5,"A",37.8,0.121441324953731,-0.298589885236687,-0.640541932804983,-1.47207115196788,0.8169,46,1,0
"66","N5 50-4","N",5,2.77,10,"A",37.33,-0.100662248289809,0.335725079309288,0.745752428314907,1.76842964400047,0.6542,54,1,0
