"UniqueID","StreamSide","StreamDistance","Elevation","DepthBin","Mortality","Sizemm","PC1"
"N5 50-4","N",5,2.77,5,"A",38.12,1.76842964400046
"N5 50-4","N",5,2.77,5,"D",NA,1.76842964400046
"N5 50-4","N",5,2.77,5,"A",31.54,1.76842964400046
"N5 50-4","N",5,2.77,5,"A",32.16,1.76842964400046
"N5 50-4","N",5,2.77,5,"A",32,1.76842964400046
"N5 50-4","N",5,2.77,10,"A",34.42,1.76842964400046
"N5 50-4","N",5,2.77,10,"A",37.33,1.76842964400046
"N5 50-4","N",5,2.77,10,"A",33.25,1.76842964400046
"N5 50-4","N",5,2.77,15,"A",34.59,1.76842964400046
"N5 50-4","N",5,2.77,15,"A",34.09,1.76842964400046
"N5 50-4","N",5,2.77,15,"A",35.22,1.76842964400046
"N5 50-4","N",5,2.77,15,"A",27.44,1.76842964400046
"S2 80-7","S",2,2.13,0,"Z",NA,3.21079254261221
"S2 80-7","S",2,2.13,5,"A",43.17,3.21079254261221
"S2 80-7","S",2,2.13,10,"D",NA,3.21079254261221
"S2 80-7","S",2,2.13,10,"D",NA,3.21079254261221
"S2 80-7","S",2,2.13,15,"Z",NA,3.21079254261221
"N2 30-0","N",2,3.23,0,"Z",NA,-4.59158765104885
"N2 30-0","N",2,3.23,5,"Z",NA,-4.59158765104885
"N2 30-0","N",2,3.23,10,"Z",NA,-4.59158765104885
"N2 30-0","N",2,3.23,15,"D",NA,-4.59158765104885
"N2 30-0","N",2,3.23,15,"D",NA,-4.59158765104885
"C 60-3","C",0,2.45,0,"D",NA,-0.71355228572618
"C 60-3","C",0,2.45,0,"D",NA,-0.71355228572618
"C 60-3","C",0,2.45,0,"D",NA,-0.71355228572618
"C 60-3","C",0,2.45,0,"D",NA,-0.71355228572618
"C 60-3","C",0,2.45,5,"D",NA,-0.71355228572618
"C 60-3","C",0,2.45,5,"D",NA,-0.71355228572618
"C 60-3","C",0,2.45,5,"D",NA,-0.71355228572618
"C 60-3","C",0,2.45,10,"D",NA,-0.71355228572618
"C 60-3","C",0,2.45,15,"Z",NA,-0.71355228572618
"N5 80-1","N",5,2.33,0,"Z",NA,NA
"N5 80-1","N",5,2.33,5,"Z",NA,NA
"N5 80-1","N",5,2.33,15,"Z",NA,NA
"N5 80-1","N",5,2.33,10,"A",35.8,NA
"S10 130-9","S",10,1.86,0,"D",NA,2.03232416734516
"S10 130-9","S",10,1.86,0,"D",NA,2.03232416734516
"S10 130-9","S",10,1.86,5,"Z",NA,2.03232416734516
"S10 130-9","S",10,1.86,10,"Z",NA,2.03232416734516
"S10 130-9","S",10,1.86,15,"Z",NA,2.03232416734516
"S5 70-0","S",5,2.64,0,"Z",NA,-2.38372523272129
"S5 70-0","S",5,2.64,15,"Z",NA,-2.38372523272129
"S5 70-0","S",5,2.64,10,"A",27.5,-2.38372523272129
"S5 70-0","S",5,2.64,0,"Z",NA,-2.38372523272129
"S5 70-0","S",5,2.64,5,"D",NA,-2.38372523272129
"S5 70-0","S",5,2.64,10,"D",NA,-2.38372523272129
"S5 70-0","S",5,2.64,10,"D",NA,-2.38372523272129
"S5 70-0","S",5,2.64,10,"D",NA,-2.38372523272129
"S5 70-0","S",5,2.64,10,"D",NA,-2.38372523272129
"S5 70-0","S",5,2.64,15,"Z",NA,-2.38372523272129
"S2 60-9","S",2,2.59,15,"A",32.76,-0.415845315859431
"S2 60-9","S",2,2.59,0,"D",NA,-0.415845315859431
"S2 60-9","S",2,2.59,0,"D",NA,-0.415845315859431
"S2 60-9","S",2,2.59,5,"Z",NA,-0.415845315859431
"S2 60-9","S",2,2.59,10,"Z",NA,-0.415845315859431
"S5 30-5","S",5,3.37,0,"Z",NA,-0.121782489038967
"S5 30-5","S",5,3.37,5,"Z",NA,-0.121782489038967
"S5 30-5","S",5,3.37,10,"D",NA,-0.121782489038967
"S5 30-5","S",5,3.37,15,"Z",NA,-0.121782489038967
"S5 60-0","S",5,2.8,0,"D",NA,0.0964558308029755
"S5 60-0","S",5,2.8,0,"Z",NA,0.0964558308029755
"S5 60-0","S",5,2.8,5,"Z",NA,0.0964558308029755
"S5 60-0","S",5,2.8,10,"D",NA,0.0964558308029755
"S5 60-0","S",5,2.8,10,"D",NA,0.0964558308029755
"S5 60-0","S",5,2.8,15,"Z",NA,0.0964558308029755
"S2 90-9","S",2,2.01,0,"Z",NA,-1.32369065476558
"S2 90-9","S",2,2.01,5,"Z",NA,-1.32369065476558
"S2 90-9","S",2,2.01,15,"Z",NA,-1.32369065476558
"S2 90-9","S",2,2.01,10,"A",34.52,-1.32369065476558
"S2 90-9","S",2,2.01,10,"D",NA,-1.32369065476558
"S2 90-9","S",2,2.01,10,"D",NA,-1.32369065476558
"C 30-4","C",0,3.3,0,"D",NA,-2.99781439591645
"C 30-4","C",0,3.3,0,"D",NA,-2.99781439591645
"C 30-4","C",0,3.3,5,"Z",NA,-2.99781439591645
"C 30-4","C",0,3.3,10,"Z",NA,-2.99781439591645
"C 30-4","C",0,3.3,15,"D",NA,-2.99781439591645
"C 30-4","C",0,3.3,15,"D",NA,-2.99781439591645
"N2 80-6","N",2,2.17,0,"D",NA,1.03491744543117
"N2 80-6","N",2,2.17,0,"D",NA,1.03491744543117
"N2 80-6","N",2,2.17,0,"D",NA,1.03491744543117
"N2 80-6","N",2,2.17,0,"D",NA,1.03491744543117
